"","GSM4861833","GSM4861834","GSM4861835","GSM4861836","GSM4861837","GSM4861838","GSM4861839","GSM4861840","GSM4861841","GSM4861842","GSM4861843","GSM4861844"
"AC244453.1",12.21088557,12.38688196,12.11779279,12.05968299,12.20225155,12.38802321,13.25826153,13.32895006,13.45062694,13.09298657,13.49034965,13.08701978
"NDFIP2",7.468469941,7.746861856,8.035917989,7.911744639,7.632251881,7.64115232,7.375179283,7.81497808,8.016719221,8.136808636,8.061270197,8.082960261
"FAM72A",9.337093394,8.6364611325,8.3950737755,8.345180799,8.853801931,9.185942106,8.6021956065,8.465453595,8.2207033695,9.1950294105,9.1473048425,9.2710319455
"FAM72B",9.2777039885,8.7754644605,8.9449381375,8.6252739355,8.9928913675,9.346150004,8.766261468,8.706500787,8.506541045,9.5523858105,9.4973904055,9.548348146
"GPC5",3.260406184,3.786168468,3.781941148,3.113048122,3.723242023,3.918464212,3.201642285,3.118752494,3.151351596,3.618516648,3.765689885,4.356127208
"GPC6",2.848390718,2.806271495,2.912403142,2.842374141,2.844280807,2.865445731,2.935588708,2.851076074,2.884313411,2.772173845,2.776949408,2.783174812
"GPC6-AS2",2.848390718,2.806271495,2.912403142,2.842374141,2.844280807,2.865445731,2.935588708,2.851076074,2.884313411,2.772173845,2.776949408,2.783174812
"HIST2H2BA",8.818264089,8.531888652,7.392369023,8.088710842,8.316551535,8.362207743,10.96927721,10.47465297,10.71901716,9.597756833,10.10475287,8.773254195
"GPR180",8.626099812,8.047574252,8.077325866,8.227595922,8.285620407,8.310544932,8.707259988,8.5662619,8.311225831,7.852395112,8.105735178,7.711318514
"CLDN10",2.83123255,3.301411938,3.470519135,3.159572454,3.161555391,3.183566968,3.263698484,3.175805126,3.210372043,3.566664831,3.95248499,3.615458452
"DNAJC3",9.826917874,9.806328536,9.293402281,9.527808726,9.631427916,9.793398328,9.73540492,9.87295718,10.01639617,10.28596226,10.22685066,10.41217275
"HIST2H3C",5.954425436,5.066414314,4.479644551,4.889239814,5.110812278,5.48914852,9.098279756,9.453093911,9.771937072,8.543343789,9.310040355,6.003448941
"HIST2H2AA3",12.62738312,12.90907537,12.1792139,12.40145709,12.59318147,12.68996909,13.58467296,13.45029006,13.53758932,13.83990566,14.00051401,14.12080528
"HIST2H2AA4",12.62738312,12.90907537,12.1792139,12.40145709,12.59318147,12.68996909,13.58467296,13.45029006,13.53758932,13.83990566,14.00051401,14.12080528
"MBNL2",12.6398091,12.70413936,12.41230155,12.46246252,12.61406814,12.6942943,12.32003167,12.30426196,12.41483134,11.78461295,11.72528477,11.95699223
"RAP2A",10.39003679,10.24040871,9.620942522,10.28230108,10.05926546,9.924893933,8.996752557,9.48740558,9.913454599,8.741578286,8.441369727,8.99760219
"IPO5",12.36329392,12.27087533,11.92747363,12.22376169,12.21753036,12.16265533,12.37295215,12.28500464,12.11099601,11.85535945,11.93728058,11.66733292
"SV2A",5.750521142,5.62089054,5.954117157,5.77310881,5.769754615,5.823091646,5.574409233,5.677213325,5.66540663,4.77500165,5.271623226,4.725077078
