"","turquoise_gene"
"1192","TEFM"
"1193","AP002884.3"
"1194","POLDIP3"
"1195","DRC3"
"1196","RWDD2A"
"1197","ACBD5"
"1198","AL136418.1"
"1199","HEATR5A"
"1200","DCK"
"1201","ZDHHC9"
"1202","ZNRD1"
"1203","RBM4"
"1204","MCM6"
"1205","PILRB"
"1206","STAG3L5P-PVRIG2P-PILRB"
"1207","FLNA"
"1208","SLC14A1"
"1209","STX16"
"1210","SLAMF1"
"1211","PIK3R3"
"1212","AL031708.1"
"1213","CRAMP1"
"1214","ZNF248"
"1215","BMPR1A"
"1216","ARF3"
"1217","MT1X"
"1218","AC026461.1"
"1219","RFWD3"
"1220","LRRC8C-DT"
"1221","LRRC8B"
"1222","CD3E"
"1223","SLX4"
"1224","BTN3A1"
"1225","AC119403.1"
"1226","ZNF57"
"1227","TMEM140"
"1228","ABHD15"
"1229","DARS2"
"1230","TMEM181"
"1231","ZNF561-AS1"
"1232","THAP10"
"1233","RETSAT"
"1234","SLC29A2"
"1235","USP54"
"1236","PPP3CB-AS1"
"1237","ACADS"
"1238","PHOX2A"
"1239","TIGD4"
"1240","C2"
"1241","CHST2"
"1242","FUCA1"
"1243","S1PR1"
"1244","VEGFA"
"1245","DCUN1D2"
"1246","AC022382.2"
"1247","MTMR14"
"1248","AC133561.1"
"1249","OR52E1"
"1250","STXBP6"
"1251","SMCO2"
"1252","STARD8"
"1253","GLIPR1L1"
"1254","QPCT"
"1255","CAP2"
"1256","ZNF705A"
"1257","GAS7"
"1258","RFPL4A"
"1259","RBFOX3"
"1260","ITGB8"
"1261","ZNF48"
"1262","SEPTIN1"
"1263","ZNF559"
"1264","BORCS5"
"1265","ELOVL7"
"1266","ABI3"
"1267","LLGL2"
"1268","COQ9"
"1269","NLGN1"
"1270","STRIP1"
"1271","AC104850.2"
"1272","ZNF230"
"1273","CWF19L2"
"1274","UTS2B"
"1275","KIRREL2"
"1276","SLC35F3"
"1277","LIAS"
"1278","SMURF2"
"1279","ANKRD20A2"
"1280","DDO"
"1281","IDE"
"1282","ATOH8"
"1283","ARSK"
"1284","ERN1"
"1285","CROT"
"1286","PLA2G2C"
"1287","SORBS2"
"1288","SERPINB13"
"1289","ALS2"
"1290","GPR151"
"1291","AC009432.2"
"1292","MCTP2"
"1293","SUN3"
"1294","AP003733.3"
"1295","FKBP9"
"1296","GFOD2"
"1297","ZEB2"
"1298","PSMD12"
"1299","PPP1R14C"
"1300","PIAS3"
"1301","METTL3"
"1302","FGF19"
"1303","DAGLA"
"1304","RGS8"
"1305","TTLL10"
"1306","TXNDC15"
